Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16944    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
     7219    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
    728/5    0.004    0.000   13.778    2.756 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1296    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:124(setdefault)
12432/11201    0.004    0.000    0.005    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:316(stale)
       35    0.004    0.000    0.004    0.000 {built-in method _io.open}
     6738    0.004    0.000    0.055    0.000 /opt/anaconda3/lib/python3.12/re/__init__.py:280(_compile)
     1296    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.003    0.001    0.006    0.001 /opt/anaconda3/lib/python3.12/site-packages/scipy/constants/_codata.py:1503(parse_constants_2002to2014)
    19787    0.003    0.000    0.005    0.000 /opt/anaconda3/lib/python3.12/re/_parser.py:168(__getitem__)
      465    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.affine_transform}
     7113    0.003    0.000    0.066    0.000 /opt/anaconda3/lib/python3.12/inspect.py:863(getdoc)
        1    0.003    0.003    0.003    0.003 {method 'flush_events' of 'matplotlib.backends._macosx.FigureCanvas' objects}
    64955    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
      198    0.003    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/re/_compiler.py:243(_optimize_charset)
  1775/12    0.003    0.000   13.770    1.148 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1296    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
  927/784    0.003    0.000    0.025    0.000 /opt/anaconda3/lib/python3.12/inspect.py:2497(_signature_from_callable)
      699    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    25435    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      825    0.003    0.000    0.013    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1173(_update_props)
     8243    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
       71    0.003    0.000    0.006    0.000 <frozen abc>:110(register)
